lecture_id,part,tags,video_length,deployed_at,video_minutes
l520,5.0,142.0,,,
l592,6.0,142.0,,,
l1259,1.0,222.0,359000.0,2019-10-07 05:05:29.123,5.983333333333333
l1260,1.0,220.0,487000.0,2019-10-07 05:05:38.105,8.116666666666667
l1261,1.0,221.0,441000.0,2019-10-07 05:05:43.162,7.35
l1262,1.0,223.0,587000.0,2019-10-07 05:05:48.780,9.783333333333333
l1263,1.0,224.0,490000.0,2019-10-07 05:05:55.399,8.166666666666666
l1264,2.0,227.0,298000.0,2019-10-07 05:05:55.678,4.966666666666667
l1265,2.0,231.0,303000.0,2019-10-07 05:06:00.727,5.05
l1266,2.0,229.0,345000.0,2019-10-07 05:06:05.161,5.75
l1267,2.0,230.0,342000.0,2019-10-07 05:06:09.152,5.7
l1268,2.0,228.0,509000.0,2019-10-07 05:06:12.499,8.483333333333333
l1269,2.0,225.0,363000.0,2019-10-07 05:06:16.381,6.05
l1271,2.0,226.0,369000.0,2019-10-07 05:06:20.860,6.15
l1246,2.0,192.0,460000.0,2019-10-07 05:06:24.819,7.666666666666667
l1247,2.0,189.0,530000.0,2019-10-07 05:06:28.652,8.833333333333334
l1248,2.0,190.0,412000.0,2019-10-07 05:06:32.500,6.866666666666666
l883,2.0,190.0,,,
l1339,5.0,129.0,164000.0,,2.7333333333333334
l1272,2.0,234.0,382000.0,2019-10-07 05:06:36.673,6.366666666666666
l844,0.0,187.0,197000.0,2018-11-13 14:46:04.192,3.283333333333333
l1273,2.0,233.0,416000.0,2019-10-07 05:06:40.401,6.933333333333334
l638,7.0,148.0,,,
l639,7.0,153.0,,,
l640,7.0,156.0,,,
l641,7.0,149.0,,,
l642,7.0,168.0,,,
l643,7.0,169.0,,,
l644,7.0,150.0,,,
l1249,2.0,191.0,420000.0,2019-10-07 05:06:43.798,7.0
l1250,2.0,188.0,438000.0,2019-10-07 05:06:47.202,7.3
l1275,3.0,240.0,412000.0,2019-10-07 05:06:51.788,6.866666666666666
l1276,3.0,252.0,684000.0,2019-10-07 05:06:59.602,11.4
l1277,3.0,251.0,730000.0,2019-10-07 05:07:09.569,12.166666666666666
l1278,3.0,249.0,763000.0,2019-10-07 05:07:18.155,12.716666666666667
l1279,3.0,253.0,706000.0,2019-10-07 05:07:26.045,11.766666666666667
l1287,4.0,236.0,685000.0,2019-10-07 05:08:26.965,11.416666666666666
l1288,4.0,237.0,651000.0,2019-10-07 05:08:34.462,10.85
l1289,4.0,243.0,689000.0,2019-10-07 05:08:43.352,11.483333333333333
l1290,4.0,242.0,644000.0,2019-10-07 05:08:51.447,10.733333333333333
l1291,4.0,238.0,680000.0,2019-10-07 05:08:58.654,11.333333333333334
l1292,4.0,239.0,777000.0,2019-10-07 05:09:07.218,12.95
l1293,5.0,256.0,474000.0,2019-10-07 05:09:07.500,7.9
l829,7.0,195.0,540000.0,,9.0
l830,7.0,195.0,422000.0,,7.033333333333333
l828,7.0,195.0,,,
l1338,0.0,204.0,197000.0,,3.283333333333333
l1294,5.0,292.0,541000.0,2019-10-07 05:09:07.782,9.016666666666667
l1295,5.0,276.0,595000.0,2019-10-07 05:09:08.062,9.916666666666666
l1296,5.0,287.0,434000.0,2019-10-07 05:09:10.121,7.233333333333333
l1297,5.0,271.0,474000.0,2019-10-07 05:09:12.252,7.9
l1298,5.0,275.0,471000.0,2019-10-07 05:09:14.420,7.85
l1299,5.0,277.0,594000.0,2019-10-07 05:09:16.569,9.9
l1300,5.0,260.0,265000.0,2019-10-07 05:09:16.853,4.416666666666667
l1301,5.0,272.0,404000.0,2019-10-07 05:09:18.953,6.733333333333333
l1302,5.0,264.0,686000.0,2019-10-07 05:09:26.877,11.433333333333334
l1251,5.0,88.0,524000.0,2019-10-07 05:09:32.650,8.733333333333333
l1303,5.0,290.0,398000.0,2019-10-07 05:09:34.780,6.633333333333334
l1304,5.0,281.0,544000.0,2019-10-07 05:09:39.406,9.066666666666666
l1305,5.0,294.0,452000.0,2019-10-07 05:09:41.508,7.533333333333333
l1306,5.0,278.0,384000.0,2019-10-07 05:09:43.599,6.4
l1307,5.0,289.0,537000.0,2019-10-07 05:09:49.755,8.95
l1308,5.0,286.0,750000.0,2019-10-07 05:09:51.900,12.5
l1309,5.0,284.0,547000.0,2019-10-07 05:10:00.173,9.116666666666667
l1310,5.0,255.0,511000.0,2019-10-07 05:10:00.452,8.516666666666667
l1319,5.0,261.0,533000.0,2019-10-07 05:10:31.435,8.883333333333333
l1320,5.0,270.0,666000.0,2019-10-07 05:10:33.516,11.1
l1321,5.0,269.0,452000.0,2019-10-07 05:10:38.385,7.533333333333333
l1322,5.0,282.0,752000.0,2019-10-07 05:10:42.396,12.533333333333333
l1323,5.0,293.0,929000.0,2019-10-07 05:10:48.250,15.483333333333333
l1252,5.0,130.0,1037000.0,2019-10-07 05:10:50.311,17.283333333333335
l1324,5.0,258.0,332000.0,2019-10-07 05:10:50.590,5.533333333333333
l1253,5.0,72.0,554000.0,2019-10-07 05:10:52.724,9.233333333333333
l1254,5.0,135.0,588000.0,2019-10-07 05:10:54.834,9.8
l1325,5.0,280.0,715000.0,2019-10-07 05:10:56.909,11.916666666666666
l1326,5.0,279.0,698000.0,2019-10-07 05:11:00.064,11.633333333333333
l1327,5.0,274.0,769000.0,2019-10-07 05:11:03.797,12.816666666666666
l1328,5.0,273.0,896000.0,2019-10-07 05:11:06.366,14.933333333333334
l1329,5.0,266.0,543000.0,2019-10-07 05:11:08.494,9.05
l1330,5.0,265.0,972000.0,2019-10-07 05:11:12.141,16.2
l1331,5.0,257.0,165000.0,2019-10-07 05:11:12.425,2.75
l1255,5.0,100.0,526000.0,2019-10-07 05:11:16.442,8.766666666666667
l1256,5.0,101.0,418000.0,2019-10-07 05:11:20.478,6.966666666666667
l1332,6.0,254.0,163000.0,2019-10-07 05:11:20.757,2.716666666666667
l1333,6.0,283.0,761000.0,2019-10-07 05:11:30.652,12.683333333333334
l1257,6.0,134.0,453000.0,2019-10-07 05:11:36.646,7.55
l1258,6.0,143.0,611000.0,2019-10-07 05:11:41.096,10.183333333333334
l1334,7.0,295.0,343000.0,2019-10-07 05:11:41.372,5.716666666666667
l1335,7.0,298.0,816000.0,2019-10-07 05:11:41.652,13.6
l1336,7.0,297.0,623000.0,2019-10-07 05:11:46.959,10.383333333333333
l1337,7.0,296.0,501000.0,2019-10-07 05:11:52.977,8.35
l651,1.0,187.0,264000.0,2019-10-07 05:11:53.265,4.4
l652,2.0,187.0,294000.0,2019-10-07 05:11:53.551,4.9
l653,3.0,187.0,187000.0,2019-10-07 05:11:53.831,3.1166666666666667
l654,4.0,187.0,200000.0,2019-10-07 05:11:54.123,3.3333333333333335
l655,5.0,187.0,179000.0,2019-10-07 05:11:54.402,2.9833333333333334
l656,6.0,187.0,232000.0,2019-10-07 05:11:54.683,3.8666666666666667
l657,7.0,187.0,297000.0,2019-10-07 05:11:54.963,4.95
l845,0.0,199.0,323000.0,2019-10-07 05:11:55.528,5.383333333333334
l846,0.0,199.0,334000.0,2019-10-07 05:11:55.808,5.566666666666666
l847,0.0,200.0,253000.0,2019-10-07 05:11:56.090,4.216666666666667
