question_id,bundle_id,explanation_id,correct_answer,part,tags,deployed_at
q1,b1,e1,b,1,1;2;179;181,2019-05-17 11:40:17.098
q2,b2,e2,a,1,15;2;182,2019-05-17 11:40:19.720
q3,b3,e3,b,1,14;2;179;183,2019-05-17 11:40:22.784
q4,b4,e4,b,1,9;2;179;184,2019-05-17 11:40:25.357
q5,b5,e5,c,1,8;2;179;181,2019-05-17 11:40:28.439
q6,b6,e6,d,1,9;2;179;182,2019-05-17 11:40:31.307
q7,b7,e7,d,1,11;7;179;183,2019-05-17 11:40:33.992
q8,b8,e8,b,1,20;21;179;184,2019-05-17 11:40:36.876
q9,b9,e9,c,1,13;2;179;183,2019-05-17 11:40:39.849
q10,b10,e10,c,1,17;7;182,2019-05-17 11:40:43.018
q11,b11,e11,b,1,15;2;181,2017-12-29 14:56:29.635
q12,b12,e12,c,1,1;2;182,2017-12-29 14:56:32.780
q13,b13,e13,a,1,1;2;183,2017-12-29 14:56:36.067
q14,b14,e14,a,1,8;2;184,2017-12-29 14:56:39.379
q15,b15,e15,d,1,14;2;181,2017-12-29 14:56:42.986
q16,b16,e16,c,1,20;21;182,2017-12-29 14:56:46.284
q17,b17,e17,c,1,19;2;183,1969-12-31 23:59:59.999
q18,b18,e18,b,1,5;2;179;184,2017-12-29 14:56:49.803
q19,b19,e19,a,1,20;21;183,2017-12-29 14:56:52.897
q20,b20,e20,b,1,10;7;179;182,2017-12-29 14:56:56.209
q21,b21,e21,d,1,9;2;179;181,2019-09-17 02:44:46.778
q22,b22,e22,c,1,6;7;179;182,2019-09-17 02:44:48.996
q23,b23,e23,d,1,8;2;183,2019-09-17 02:44:51.184
q24,b24,e24,a,1,6;7;184,2019-09-17 02:44:53.421
q25,b25,e25,c,1,6;7;181,2019-09-17 02:44:55.561
q26,b26,e26,a,1,6;7;182,2019-09-17 02:44:57.819
q27,b27,e27,a,1,4;2;179;183,2019-09-17 02:45:00.050
q28,b28,e28,a,1,6;7;184,2019-09-17 02:45:02.532
q29,b29,e29,d,1,4;2;183,2019-09-17 02:45:04.653
